TAA_ID,TAA_DATE,TAA_SHIFT,TAA_WKNO,TAA_CHE_TYPE,TAA_MOVE_KIND,TAA_AGV_ID,TAA_DRIVER,TAA_DRIVENAME,TAA_CNTRID,TAA_AGO_GROUP_ID,TAA_CSIZECD,TAA_CSTATUSCD,TAA_DNGCD,TAA_OVLMTCD,TAA_CTYPECD,TAA_SETTMPT,TAA_WK_STTIME,TAA_WK_EDTIME,TAA_FREE1_ARRTIME,TAA_FREE1_EDTIME,TAA_FREE2_ARRTIME,TAA_FREE2_EDTIME,TAA_FULL1_ARRTIME,TAA_FULL1_EDTIME,TAA_FULL2_ARRTIME,TAA_FULL2_EDTIME,TAA_CONTRACTOR,TAA_VOY_ID,TAA_CNL_WAIT_SECONDS,TAA_CNL_AGO_ID,TAA_PRIOR_EDTIME,TAA_VALIDFG,TAA_WI_ID,TAA_ORC_ID,TAA_CNTRNO,TAA_CREATEUSER,TAA_FREE_PB_ARRTIME,TAA_FREE_PB_EDTIME,TAA_FULL_PB_ARRTIME,TAA_FULL_PB_EDTIME,TAA_FREE1_ST_TP_ID,TAA_FREE1_ED_TP_ID,TAA_FREE2_ST_TP_ID,TAA_FREE2_ED_TP_ID,TAA_FULL1_ST_TP_ID,TAA_FULL1_ED_TP_ID,TAA_FULL2_ST_TP_ID,TAA_FULL2_ED_TP_ID,TAA_FREE_PB_ID,TAA_FULL_PB_ID,TAA_MILEAGE,TAA_CREATEDT
"TAA-20260910-000001","2026-09-10",2,"W01","AGV","IMPORT","AGV-001","SIM","Simulation AGV","CNTR-0000001","AGO-G-01","20","FULL","N","N","20GP","","2026-09-10 00:00:00","2026-09-10 00:28:06","2026-09-10 00:00:00","2026-09-10 00:00:10","2026-09-10 00:11:14","2026-09-10 00:11:24","2026-09-10 00:02:00","2026-09-10 00:02:18","2026-09-10 00:03:02","2026-09-10 00:03:22","SYNTHETIC","VOY-001",4,"AGO-000001","2026-09-10 00:03:00","Y","WI-0000001","ORC-0000001","SYN0000001","SIMULATOR","2026-09-10 00:00:05","2026-09-10 00:00:08","2026-09-10 00:01:52","2026-09-10 00:01:57","TP-F1-S-1","TP-F1-E-1","TP-F2-S-1","TP-F2-E-1","TP-L1-S-1","TP-L1-E-1","TP-L2-S-1","TP-L2-E-1","PB-FREE-01","PB-FULL-01",9697.3,"2026-09-10 00:00:00"
"TAA-20260910-000002","2026-09-10",2,"W02","AGV","EXPORT","AGV-002","SIM","Simulation AGV","CNTR-0000002","AGO-G-02","40","FULL","N","N","40HQ","","2026-09-10 00:00:12","2026-09-10 00:27:34","2026-09-10 00:00:12","2026-09-10 00:00:22","2026-09-10 00:11:32","2026-09-10 00:11:42","2026-09-10 00:03:24","2026-09-10 00:03:42","2026-09-10 00:04:53","2026-09-10 00:05:13","SYNTHETIC","VOY-002",5,"AGO-000002","2026-09-10 00:03:12","Y","WI-0000002","ORC-0000002","SYN0000002","SIMULATOR","2026-09-10 00:00:17","2026-09-10 00:00:20","2026-09-10 00:03:16","2026-09-10 00:03:21","TP-F1-S-2","TP-F1-E-2","TP-F2-S-2","TP-F2-E-2","TP-L1-S-2","TP-L1-E-2","TP-L2-S-2","TP-L2-E-2","PB-FREE-02","PB-FULL-02",9566,"2026-09-10 00:00:00"
"TAA-20260910-000003","2026-09-10",2,"W03","AGV","IMPORT","AGV-003","SIM","Simulation AGV","CNTR-0000003","AGO-G-03","40","FULL","N","N","40HQ","","2026-09-10 00:00:24","2026-09-10 00:27:52","2026-09-10 00:00:24","2026-09-10 00:00:34","2026-09-10 00:11:21","2026-09-10 00:11:31","2026-09-10 00:04:28","2026-09-10 00:04:46","2026-09-10 00:06:16","2026-09-10 00:06:36","SYNTHETIC","VOY-003",6,"AGO-000003","2026-09-10 00:03:24","Y","WI-0000003","ORC-0000003","SYN0000003","SIMULATOR","2026-09-10 00:00:29","2026-09-10 00:00:32","2026-09-10 00:04:20","2026-09-10 00:04:25","TP-F1-S-3","TP-F1-E-3","TP-F2-S-3","TP-F2-E-3","TP-L1-S-3","TP-L1-E-3","TP-L2-S-3","TP-L2-E-3","PB-FREE-03","PB-FULL-03",9634.8,"2026-09-10 00:00:00"
"TAA-20260910-000004","2026-09-10",2,"W04","AGV","EXPORT","AGV-004","SIM","Simulation AGV","CNTR-0000004","AGO-G-04","20","FULL","N","N","20GP","","2026-09-10 00:00:36","2026-09-10 00:27:01","2026-09-10 00:00:36","2026-09-10 00:00:46","2026-09-10 00:12:04","2026-09-10 00:12:14","2026-09-10 00:05:42","2026-09-10 00:06:00","2026-09-10 00:07:53","2026-09-10 00:08:13","SYNTHETIC","VOY-004",7,"AGO-000004","2026-09-10 00:03:36","Y","WI-0000004","ORC-0000004","SYN0000004","SIMULATOR","2026-09-10 00:00:41","2026-09-10 00:00:44","2026-09-10 00:05:34","2026-09-10 00:05:39","TP-F1-S-4","TP-F1-E-4","TP-F2-S-4","TP-F2-E-4","TP-L1-S-4","TP-L1-E-4","TP-L2-S-4","TP-L2-E-4","PB-FREE-04","PB-FULL-04",9303.7,"2026-09-10 00:00:00"
"TAA-20260910-000005","2026-09-10",2,"W05","AGV","IMPORT","AGV-005","SIM","Simulation AGV","CNTR-0000005","AGO-G-05","40","FULL","N","N","40HQ","","2026-09-10 00:00:48","2026-09-10 00:27:58","2026-09-10 00:00:48","2026-09-10 00:00:58","2026-09-10 00:12:24","2026-09-10 00:12:34","2026-09-10 00:02:59","2026-09-10 00:03:17","2026-09-10 00:04:06","2026-09-10 00:04:26","SYNTHETIC","VOY-005",8,"AGO-000005","2026-09-10 00:03:48","Y","WI-0000005","ORC-0000005","SYN0000005","SIMULATOR","2026-09-10 00:00:53","2026-09-10 00:00:56","2026-09-10 00:02:51","2026-09-10 00:02:56","TP-F1-S-5","TP-F1-E-5","TP-F2-S-5","TP-F2-E-5","TP-L1-S-5","TP-L1-E-5","TP-L2-S-5","TP-L2-E-5","PB-FREE-05","PB-FULL-05",9390.6,"2026-09-10 00:00:00"
"TAA-20260910-000006","2026-09-10",2,"W06","AGV","EXPORT","AGV-006","SIM","Simulation AGV","CNTR-0000006","AGO-G-06","40","FULL","N","N","40HQ","","2026-09-10 00:01:00","2026-09-10 00:27:25","2026-09-10 00:01:00","2026-09-10 00:01:10","2026-09-10 00:11:34","2026-09-10 00:11:44","2026-09-10 00:04:00","2026-09-10 00:04:18","2026-09-10 00:05:24","2026-09-10 00:05:44","SYNTHETIC","VOY-006",9,"AGO-000006","2026-09-10 00:04:00","Y","WI-0000006","ORC-0000006","SYN0000006","SIMULATOR","2026-09-10 00:01:05","2026-09-10 00:01:08","2026-09-10 00:03:52","2026-09-10 00:03:57","TP-F1-S-6","TP-F1-E-6","TP-F2-S-6","TP-F2-E-6","TP-L1-S-6","TP-L1-E-6","TP-L2-S-6","TP-L2-E-6","PB-FREE-06","PB-FULL-06",9166,"2026-09-10 00:00:00"
"TAA-20260910-000007","2026-09-10",2,"W07","AGV","IMPORT","AGV-007","SIM","Simulation AGV","CNTR-0000007","AGO-G-07","20","FULL","N","N","20GP","","2026-09-10 00:01:12","2026-09-10 00:25:44","2026-09-10 00:01:12","2026-09-10 00:01:22","2026-09-10 00:11:37","2026-09-10 00:11:47","2026-09-10 00:05:04","2026-09-10 00:05:22","2026-09-10 00:06:47","2026-09-10 00:07:07","SYNTHETIC","VOY-007",10,"AGO-000007","2026-09-10 00:04:12","Y","WI-0000007","ORC-0000007","SYN0000007","SIMULATOR","2026-09-10 00:01:17","2026-09-10 00:01:20","2026-09-10 00:04:56","2026-09-10 00:05:01","TP-F1-S-7","TP-F1-E-7","TP-F2-S-7","TP-F2-E-7","TP-L1-S-7","TP-L1-E-7","TP-L2-S-7","TP-L2-E-7","PB-FREE-07","PB-FULL-07",8535.8,"2026-09-10 00:00:00"
"TAA-20260910-000008","2026-09-10",2,"W08","AGV","EXPORT","AGV-008","SIM","Simulation AGV","CNTR-0000008","AGO-G-08","40","FULL","N","N","40HQ","","2026-09-10 00:01:24","2026-09-10 00:25:21","2026-09-10 00:01:24","2026-09-10 00:01:34","2026-09-10 00:11:58","2026-09-10 00:12:08","2026-09-10 00:06:14","2026-09-10 00:06:32","2026-09-10 00:08:19","2026-09-10 00:08:39","SYNTHETIC","VOY-008",11,"AGO-000008","2026-09-10 00:04:24","Y","WI-0000008","ORC-0000008","SYN0000008","SIMULATOR","2026-09-10 00:01:29","2026-09-10 00:01:32","2026-09-10 00:06:06","2026-09-10 00:06:11","TP-F1-S-8","TP-F1-E-8","TP-F2-S-8","TP-F2-E-8","TP-L1-S-8","TP-L1-E-8","TP-L2-S-8","TP-L2-E-8","PB-FREE-08","PB-FULL-08",8443,"2026-09-10 00:00:00"
"TAA-20260910-000009","2026-09-10",2,"W01","AGV","IMPORT","AGV-009","SIM","Simulation AGV","CNTR-0000009","AGO-G-09","40","FULL","N","N","40HQ","","2026-09-10 00:01:36","2026-09-10 00:28:48","2026-09-10 00:01:36","2026-09-10 00:01:46","2026-09-10 00:13:39","2026-09-10 00:13:49","2026-09-10 00:05:25","2026-09-10 00:05:43","2026-09-10 00:07:07","2026-09-10 00:07:27","SYNTHETIC","VOY-009",12,"AGO-000009","2026-09-10 00:04:36","Y","WI-0000009","ORC-0000009","SYN0000009","SIMULATOR","2026-09-10 00:01:41","2026-09-10 00:01:44","2026-09-10 00:05:17","2026-09-10 00:05:22","TP-F1-S-9","TP-F1-E-9","TP-F2-S-9","TP-F2-E-9","TP-L1-S-9","TP-L1-E-9","TP-L2-S-9","TP-L2-E-9","PB-FREE-09","PB-FULL-09",9453.2,"2026-09-10 00:00:00"
"TAA-20260910-000010","2026-09-10",2,"W02","AGV","EXPORT","AGV-010","SIM","Simulation AGV","CNTR-0000010","AGO-G-10","20","FULL","N","N","20GP","","2026-09-10 00:01:48","2026-09-10 00:24:35","2026-09-10 00:01:48","2026-09-10 00:01:58","2026-09-10 00:11:23","2026-09-10 00:11:33","2026-09-10 00:04:57","2026-09-10 00:05:15","2026-09-10 00:06:25","2026-09-10 00:06:45","SYNTHETIC","VOY-010",13,"AGO-000010","2026-09-10 00:04:48","Y","WI-0000010","ORC-0000010","SYN0000010","SIMULATOR","2026-09-10 00:01:53","2026-09-10 00:01:56","2026-09-10 00:04:49","2026-09-10 00:04:54","TP-F1-S-10","TP-F1-E-10","TP-F2-S-10","TP-F2-E-10","TP-L1-S-10","TP-L1-E-10","TP-L2-S-10","TP-L2-E-10","PB-FREE-10","PB-FULL-10",7853.3,"2026-09-10 00:00:00"
